year,trade_flow,reporter,partner,trade_value_usd
2017,Export,Australia,Indonesia,4887552692
2017,Export,Australia,New Zealand,6801319785
2017,Export,Australia,Thailand,3055521082
2017,Export,Australia,United Kingdom,4549840413
2017,Export,Australia,USA,8434026567
2018,Export,Australia,Indonesia,4796024850
2018,Export,Australia,New Zealand,7166741072
2018,Export,Australia,Thailand,4882532609
2018,Export,Australia,United Kingdom,3610941700
2018,Export,Australia,USA,9552146146
2019,Export,Australia,Indonesia,4099330290
2019,Export,Australia,New Zealand,7076784836
2019,Export,Australia,Thailand,3062922806
2019,Export,Australia,United Kingdom,10570263966
2019,Export,Australia,USA,10170511488
2020,Export,Australia,Indonesia,3623363967
2020,Export,Australia,New Zealand,6914472432
2020,Export,Australia,Thailand,2759028392
2020,Export,Australia,United Kingdom,10209926484
2020,Export,Australia,USA,12989921361
2021,Export,Australia,Indonesia,6996478730
2021,Export,Australia,New Zealand,8194246263
2021,Export,Australia,Thailand,4226400505
2021,Export,Australia,United Kingdom,3418667881
2021,Export,Australia,USA,11021954790
2017,Export,Australia,China,68471063549
2017,Export,Australia,Japan,24179668817
2018,Export,Australia,China,87720091685
2018,Export,Australia,Japan,41352868013
2019,Export,Australia,China,1.02996E+11
2019,Export,Australia,Japan,39454955160
2020,Export,Australia,China,1.00086E+11
2020,Export,Australia,Japan,30332326281
2021,Export,Australia,China,1.16818E+11
2021,Export,Australia,Japan,30319468420